Id,ADR,Adults,Children,DepositType,IsRepeatedGuest,LeadTime,Meal
44533,6,0,2,No Deposit,0,48,BB
48382,6,0,2,No Deposit,0,147,BB
104698,6,0,2,No Deposit,0,0,BB
45921,6,0,2,No Deposit,0,33,BB
46023,6,0,2,No Deposit,0,40,BB
106941,8,0,0,No Deposit,0,0,No meal
50077,50.87,0,0,No Deposit,0,122,No meal
55184,57.3,0,0,No Deposit,0,256,BB
60466,71.22,0,2,No Deposit,0,195,BB
106137,76.16,0,2,No Deposit,0,201,BB
45571,77.25,0,2,No Deposit,0,12,BB
101977,77.86,0,2,No Deposit,0,53,BB
48778,81.5,0,2,No Deposit,0,123,BB
60090,82.44,0,2,No Deposit,0,44,BB
115904,91.4,0,2,No Deposit,0,295,BB
116620,93.64,0,2,No Deposit,0,276,BB
55758,96.23,0,2,No Deposit,0,62,BB
93064,97.54,0,2,No Deposit,0,82,BB
65041,101.25,0,2,No Deposit,0,230,BB
94399,109.83,0,2,No Deposit,0,93,BB
96143,112.01,0,2,No Deposit,0,186,BB
47883,120,0,2,No Deposit,0,108,BB
55668,121.01,0,2,No Deposit,0,179,BB
50960,128.49,0,2,No Deposit,0,23,BB
112100,129.6,0,3,No Deposit,0,159,HB
97352,155.68,0,2,No Deposit,0,3,BB
23880,5.2,1,0,No Deposit,0,101,BB
48532,6,1,0,Non Refund,0,274,BB
41885,6,1,0,No Deposit,0,1,BB
64772,6,1,0,No Deposit,0,38,BB
41864,6,1,0,No Deposit,0,1,BB
76010,6,1,0,No Deposit,1,10,BB
14614,13,1,0,No Deposit,0,289,HB
72028,17.6,1,0,No Deposit,0,2,HB
77161,17.6,1,0,No Deposit,0,33,HB
56345,17.6,1,0,No Deposit,0,23,HB
39785,17.6,1,0,No Deposit,0,2,HB
18020,18.5,1,0,No Deposit,0,62,No meal
110517,19.09,1,0,No Deposit,0,10,BB
116027,22,1,0,No Deposit,0,423,HB
18269,22.5,1,0,No Deposit,0,7,BB
3180,22.5,1,0,No Deposit,0,129,HB
14495,25,1,0,No Deposit,1,6,BB
20079,25,1,0,No Deposit,0,11,BB
4383,25,1,0,No Deposit,0,46,BB
18407,25,1,0,No Deposit,0,5,BB
19033,25,1,0,No Deposit,0,28,BB
14496,25,1,0,No Deposit,1,6,BB
18777,25,1,0,No Deposit,0,3,BB
3972,25,1,0,Non Refund,0,64,BB
13882,25,1,0,No Deposit,0,0,BB
19480,25,1,0,No Deposit,0,4,BB
21428,25,1,0,No Deposit,0,2,BB
18637,25,1,0,No Deposit,0,9,BB
21299,25,1,0,No Deposit,0,46,BB
21469,25,1,0,No Deposit,0,5,BB
21385,25,1,0,No Deposit,0,30,BB
17375,25,1,0,No Deposit,1,4,BB
19445,26,1,0,No Deposit,1,0,BB
14042,26,1,0,No Deposit,0,0,BB
13826,26,1,0,No Deposit,0,1,BB
18351,26,1,0,No Deposit,0,8,BB
30897,26.64,1,0,No Deposit,0,94,BB
33742,26.64,1,0,No Deposit,0,295,BB
20070,27,1,0,No Deposit,0,2,BB
14499,27,1,0,No Deposit,1,7,BB
29364,27,1,0,No Deposit,0,36,BB
17952,27,1,0,No Deposit,0,11,BB
19717,27,1,0,No Deposit,0,7,BB
14497,27,1,0,No Deposit,1,11,BB
33951,27,1,0,No Deposit,0,214,BB
20142,27.5,1,0,No Deposit,0,1,BB
31611,27.5,1,0,No Deposit,0,40,No meal
33915,28.8,1,0,No Deposit,0,241,BB
33245,29,1,0,No Deposit,0,7,BB
35179,29,1,0,No Deposit,1,0,HB
33292,29,1,0,No Deposit,0,7,BB
14010,29.6,1,0,No Deposit,0,51,BB
17750,30,1,0,No Deposit,1,1,BB
31277,30,1,0,No Deposit,0,24,BB
17559,30,1,0,No Deposit,1,4,BB
30119,30,1,0,No Deposit,1,2,BB
13983,30,1,0,No Deposit,0,0,BB
20586,30,1,0,No Deposit,0,6,BB
15336,30,1,0,No Deposit,1,1,BB
13797,30,1,0,No Deposit,0,1,BB
20956,30,1,0,No Deposit,1,0,BB
32816,30,1,0,No Deposit,0,5,BB
31761,30,1,0,No Deposit,0,8,BB
13944,30,1,0,No Deposit,0,3,BB
4427,30,1,0,No Deposit,0,2,BB
30513,30,1,0,No Deposit,0,1,BB
13945,30,1,0,No Deposit,0,8,BB
31686,30,1,0,No Deposit,0,9,BB
30515,30,1,0,No Deposit,0,2,BB
14725,30,1,0,No Deposit,1,0,BB
29385,30.03,1,0,No Deposit,0,263,BB
29880,30.3,1,0,No Deposit,0,33,BB
22101,30.6,1,0,No Deposit,0,13,BB
30849,30.96,1,0,No Deposit,0,67,BB
3134,31,1,0,No Deposit,0,31,BB
83843,31,1,0,No Deposit,0,3,BB
3457,31.12,1,0,No Deposit,0,149,BB
31454,31.45,1,0,No Deposit,0,2,BB
