Id,IsCancelled,PreviousBookingsNotCancelled,PreviousCancellations,TotalSpecialRequests,BookingChanges,StaysWeekendNights,StaysWeekNights
20747,0,0,0,1,0,2,3
115872,0,0,0,0,0,2,4
4961,1,0,0,0,0,0,2
46103,0,0,0,1,0,2,0
96807,0,0,0,0,1,0,4
41484,1,0,0,0,0,1,2
37218,0,0,0,1,0,2,5
57495,1,0,0,1,0,0,3
98894,0,0,0,2,0,2,3
86911,0,0,0,1,0,2,3
15568,0,0,0,2,0,0,4
15419,0,0,0,0,0,0,1
13266,1,0,0,0,0,2,1
63839,1,0,0,0,0,1,2
42790,0,0,0,0,0,0,2
59397,1,0,0,0,0,1,2
104634,0,0,0,0,1,0,1
15865,0,0,0,0,1,4,10
9658,1,0,0,0,0,0,2
112402,0,0,0,0,0,2,3
3671,0,0,0,0,1,0,4
76232,1,0,1,0,0,0,1
84546,0,12,0,0,0,0,2
60662,1,0,0,1,1,0,4
104354,0,0,0,0,0,0,0
69293,1,0,0,0,0,0,3
61950,1,0,0,0,0,4,8
59241,1,0,0,0,0,0,3
58860,1,0,0,0,0,1,2
112705,0,0,0,1,0,2,0
90015,0,0,0,0,0,1,2
113373,0,0,0,2,0,0,2
9427,1,0,0,0,0,2,1
88850,0,0,0,2,1,0,3
28291,0,3,0,1,0,1,2
95390,0,0,0,2,0,0,2
90319,0,0,0,0,0,2,4
39145,0,0,0,2,0,0,2
52820,1,0,0,1,0,1,2
70651,1,0,0,0,0,2,1
25265,0,0,0,0,0,0,2
46838,1,0,0,0,0,9,20
51795,1,0,0,0,1,1,1
91238,0,0,0,1,0,1,2
98956,0,0,0,0,0,0,0
18284,1,0,1,0,0,2,1
81235,1,0,1,0,0,0,3
31518,0,0,0,0,1,0,1
83271,0,0,0,1,0,1,0
65343,1,0,0,0,2,0,1
1851,0,0,0,2,0,2,5
95837,0,0,0,1,0,2,5
63645,1,0,0,0,0,2,6
34374,0,0,0,0,1,1,4
107493,0,0,0,1,0,0,1
102668,0,0,0,0,1,1,0
73391,1,0,1,0,0,0,2
105519,0,0,0,0,0,2,1
25443,0,0,0,0,1,1,0
81096,1,0,6,0,0,0,3
9253,1,0,0,1,0,2,3
78761,1,0,1,0,0,0,2
54509,1,0,0,0,0,0,1
110299,0,0,0,1,0,1,3
40561,1,0,0,0,0,0,2
44641,0,0,0,0,0,2,1
87453,0,0,0,0,0,0,3
43546,0,0,0,1,0,2,3
86879,0,0,0,2,0,0,1
17411,0,0,0,0,0,1,1
28191,0,0,0,1,0,1,0
12514,1,0,0,0,0,2,5
33450,0,0,0,0,0,2,5
